"temperature","humidity","moisture","light","tilt","temperatureConfidence","humidityConfidence","moistureConfidence","lightConfidence","tiltConfidence","overallConfidence","status","createdAt"
24,40,65,435,false,62,50,50,100,100,66.10001,"Anomaly","2026-07-17T18:02:06.394Z"
25,40.5,65,435,false,80,80,80,100,100,85,"Warning","2026-07-17T18:02:14.533Z"
25,41,65,411,false,89.6,80.2,80,100,100,87.91,"Warning","2026-07-17T18:02:22.580Z"
25,41,68,411,false,99.6,96.6,82,100,100,93.97,"Reliable","2026-07-17T18:02:30.783Z"
24.5,40.5,68,411,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:02:39.562Z"
26,40,68,411,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:02:47.780Z"
25.9,40,67,423,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:14.235Z"
27,42.5,67,423,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:22.314Z"
27,42,67,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:30.535Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:42.669Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:51.018Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:03:59.812Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:08.044Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:16.000Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:24.401Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:33.002Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:41.428Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:04:55.909Z"
27,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:05:07.005Z"
25.3,42,65,435,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:05:15.841Z"
25.3,42,65,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:05:50.578Z"
30.1,42,65,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:05:58.907Z"
35,42,65,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:06:08.465Z"
40.3,42,65,488,false,95.8,100,100,100,100,98.74001,"Reliable","2026-07-17T18:06:16.801Z"
45.3,42,65,488,false,91.8,100,100,100,100,97.54001,"Reliable","2026-07-17T18:06:25.749Z"
50.3,42,65,488,false,89.8,100,100,100,100,96.94,"Reliable","2026-07-17T18:06:34.813Z"
55.7,42,65,488,false,89,100,100,100,100,96.7,"Reliable","2026-07-17T18:06:43.615Z"
60.8,42,65,488,false,87.04,100,100,100,100,96.11201,"Reliable","2026-07-17T18:06:51.636Z"
65.3,42,65,488,false,77.10999,100,100,100,100,93.133,"Reliable","2026-07-17T18:07:00.224Z"
70.3,42,65,488,false,64.60999,100,100,100,100,89.383,"Warning","2026-07-17T18:07:08.335Z"
80,42.5,65,488,false,40.95999,100,100,100,100,82.288,"Anomaly","2026-07-17T18:07:36.676Z"
80,49.5,65,488,false,50,100,100,100,100,85.00001,"Anomaly","2026-07-17T18:07:44.816Z"
80,57,65,488,false,50,100,100,100,100,85.00001,"Anomaly","2026-07-17T18:07:54.060Z"
79.9,57,65,488,false,50.25,100,100,100,100,85.075,"Warning","2026-07-17T18:08:02.658Z"
75.4,57,65,488,false,61.5,100,100,100,100,88.45,"Warning","2026-07-17T18:08:11.519Z"
70.3,57,65,488,false,74.24999,100,100,100,100,92.275,"Reliable","2026-07-17T18:08:20.568Z"
65.7,57,65,488,false,82.91001,100,100,100,100,94.87301,"Reliable","2026-07-17T18:08:28.686Z"
60.1,57,65,488,false,91.43001,100,100,100,100,97.42901,"Reliable","2026-07-17T18:08:37.173Z"
55.7,57,65,488,false,90.83999,100,100,100,100,97.252,"Reliable","2026-07-17T18:08:46.120Z"
50.2,57,65,488,false,89.52,100,100,100,100,96.856,"Reliable","2026-07-17T18:08:54.608Z"
45.7,57,65,488,false,90.6,100,100,100,100,97.18,"Reliable","2026-07-17T18:09:03.690Z"
40.6,57,65,488,false,90.24,100,100,100,100,97.07201,"Reliable","2026-07-17T18:09:12.113Z"
35.5,57,65,488,false,90.08,100,100,100,100,97.024,"Reliable","2026-07-17T18:09:20.571Z"
30.6,57,65,488,false,90.12001,100,100,100,100,97.03601,"Reliable","2026-07-17T18:09:29.327Z"
28.4,57,65,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:10:02.852Z"
30,60.5,65,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:10:17.002Z"
30,60.5,95,488,false,100,100,70,100,100,91.00001,"Reliable","2026-07-17T18:10:25.161Z"
30,60.5,97,488,false,100,100,88,100,100,96.4,"Reliable","2026-07-17T18:10:33.525Z"
30,60.5,91,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:10:42.436Z"
30,60.5,77,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:10:50.357Z"
30,60.5,72,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:10:58.718Z"
30,60.5,64,488,false,100,100,95.2,100,100,98.56001,"Reliable","2026-07-17T18:11:07.050Z"
30,60.5,57,488,false,100,100,93.60001,100,100,98.08001,"Reliable","2026-07-17T18:11:15.138Z"
30,60.5,48,488,false,100,100,91.60001,100,100,97.48,"Reliable","2026-07-17T18:11:24.306Z"
30,60.5,41,488,false,100,100,94.8,100,100,98.44,"Reliable","2026-07-17T18:11:36.198Z"
30,60.5,35,488,false,100,100,97.2,100,100,99.16,"Reliable","2026-07-17T18:11:47.741Z"
30,60.5,28,488,false,100,100,98,100,100,99.4,"Reliable","2026-07-17T18:11:55.845Z"
30,60.5,21,488,false,100,100,98.4,100,100,99.52,"Reliable","2026-07-17T18:12:03.938Z"
30,60.5,16,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:12:12.251Z"
30,60.5,10,488,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:12:21.106Z"
30,60.5,46,488,false,100,100,50,100,100,85.00001,"Anomaly","2026-07-17T18:12:49.017Z"
30,60.5,55,577,false,100,100,80,100,100,94.00001,"Reliable","2026-07-17T18:13:03.212Z"
30,60.5,55,698,false,100,100,82.4,100,100,94.72001,"Reliable","2026-07-17T18:13:12.988Z"
30,60.5,55,883,false,100,100,98,100,100,99.4,"Reliable","2026-07-17T18:13:20.843Z"
30,60.5,55,928,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:13:33.743Z"
30,60.5,55,975,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:13:42.091Z"
30,60.5,55,1074,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:13:50.248Z"
30,60.5,55,1319,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:14:02.928Z"
30,60.5,55,1654,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:14:10.835Z"
30,60.5,55,2078,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:14:18.694Z"
30,60.5,55,2436,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:14:27.419Z"
30,60.5,55,2742,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:14:37.624Z"
30,60.5,55,3163,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:14:45.671Z"
30,60.5,55,3577,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:14:53.732Z"
30,60.5,55,3831,false,100,100,100,80,100,98.00001,"Reliable","2026-07-17T18:15:05.904Z"
30,60.5,55,4000,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:15:13.895Z"
30,60.5,55,4016,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:15:22.351Z"
30,60.5,55,4063,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:15:31.125Z"
30,60.5,55,3976,false,100,100,100,100,100,100,"Reliable","2026-07-17T18:15:39.668Z"
